Comentário;Categoria #1;Categoria #2;Desempate;Viés político Crítica e Protesto;Viés político suporte;
O fato desse episódio ter acontecido na 'TV CULTURA' evidencia como o Brasil está indo.;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
Um momento histórico da televisão brasileira kkkkkkkkkkkkk, ainda bem que liguei a televisão na hora certa.;Neutro;Humor;Neutro;;;
JÁ DIZIA SEU OMAR: 'É DISSO MESMO QUE EU ESTAVA FALANDO. TRÁGICO, TRÁGICO' 😂😂😂😂😂😂😂😂😂😂😂😂😂😂;Neutro;Humor;Humor;;;
O BRILHO DA MULHER QUE TAVA FAZENDO LIBRAS SUMINDO 😂😂😂😂 EU TO MORRENDO KAKAKAKAKKAKKKKA;Neutro;Humor;Humor;;;
'Você não é homem nem pra fazer isso, você não é homem''NÃO DATENA! NÃO!';Neutro;Neutro;Neutro;;;
Brasil, o país onde os candidatos literalmente lutam pelo voto;Humor;Neutro;Humor;;;
A Uol mais rápido do que os cortes do Pablo marcal kkk;Humor;Humor;Humor;;;
Marçal: Você não é homem nem pra fazer isso!Marçal vendo um idoso partindo pra cima dele: 😮;Crítica e Protesto;Neutro;Crítica e Protesto;Crítica a Marçal;;
É DISSO QUE EU TÔ FALANDO!!!ISSO É O PURO SUCO DO ENTRETENIMENTO 😂😂;Crítica e Protesto;Humor;Humor;;;
Datena é totalmente desequilibrado 😂;Crítica e Protesto;Humor;Crítica e Protesto;Crítica a Datena;;
Datena acabou de encerrar sua carreira política.Ricardo Nunes e Marina Helena agradecem.;Neutro;Neutro;Neutro;;;
E a desgraça do tiririca, falando que ' pior do que tá, não fica ' 😢;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;???
'você não é homem'. Frase chave para iniciar uma treta;Crítica e Protesto;Humor;Crítica e Protesto;Crítica a Marçal;;
O vilão desse momento foi o cara que chamou os comerciais e quem tirou a câmera da briga. O mínimo que o brasileiro sofredor merecia era poder apreciar essa briga por completo.;Suporte;Suporte;Suporte;;;?? Suporte geral
Era debate Datena, não COMBATE kkk;Humor;Humor;Humor;;;
Gente eu tô rindo kkkkkkkkkkkkkkkk MAS ESTOU PREOCUPADA COM O BRASIL VIU;Crítica e Protesto;Humor;Crítica e Protesto;Crítica Geral;;
Pô, o cara impede um helicóptero com o motor bugado de cair e não consegue impedir uma cadeirada?🤡;Humor;Humor;Humor;;;
Eu queria saber se está tudo bem com a cadeira?;Humor;Humor;Humor;;;
Mais 1 regra para o próximo debate: as cadeiras e os demais utensílios serão parafusados...😅;Humor;Neutro;Humor;;;
Esse é o tipo de gente que o Brasil tem como candidato. A que ponto chegamos. Agressões verbais constantes e agora física. Sem palavras para descrever o que sinto.;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
óbvio que a atitude do Datena foi incorreta mas. O Marçal merece levar uma dessas por dia no minimo.;Suporte;Suporte;Suporte;;Suporte a Datena;
Olha o nível das pessoas que querem administrar a cidade de São Paulo!;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
Regra numero 1 da página 212 do manual do que não dizer em uma treta:Nunca diga para um homem que ele não é homem para te agredir;Humor;Humor;Humor;;;
KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK Eleição de São Paulo está melhor que qualquer programação da TV Aberta, Obrigado Marçal;Suporte;Humor;Humor;;;
Isso é que dá fazer um debate desse nível em um ambiente inapropriado. Deveriam ter montado um octógono e dado luvas as participantes 😂😂😂;Crítica e Protesto;Humor;Humor;;;
O Pablo querendo ganhar pontos nesse debate e acabou ganhando uns 10 pontos, só que na cabeça kkkkk;Humor;Humor;Humor;;;
'usa a cadeira, a cadeira';Neutro;Neutro;Neutro;;;
O q vimos ao vivo vai ficar na história kkkkkkkkk;Neutro;Humor;Neutro;;;
Falar que o cara não é homem é pior que tapa na cara.;Crítica e Protesto;Suporte;Crítica e Protesto;Crítica a Marçal;;
Esse é o cara que detectou a falha do helicóptero antes do piloto? KKKKKKKK;Crítica e Protesto;Humor;Crítica e Protesto;Crítica a Datena;;
Acho que demorou muito pra algo assim acontecer, estão deixando o cara ofender, humilhar, provocar... Essa eleição de SP tá parecendo que está sendo disputada por meninos de escola sem nenhuma supervisão de um adulto;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
Eu iria votar nulo. Mas devido a esse heroísmo, voto no Datena.;Suporte;Suporte;Suporte;;Suporte a Datena;
É o ápice da baixaria, isso foi que se transformou a política brasileira, lamentável;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
Na briga entre esses dois eu torço pela briga!😂😂😂😂😂;Humor;Humor;Humor;;;
Nova ideia de debate: cada candidato ganha uma espada. Quem sobreviver no final vira prefeito;Crítica e Protesto;Humor;Humor;;;
Esse é o nivel do desequilíbrio emocional dos políticos brasileiros. Na verdade, da maioria dos brasileiros..;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
'você não é homem pra isso'E leva uma cadeirada kkkkkkkkkkkkkkk;Humor;Humor;Humor;;;
'..... você não é homem nem para fazer isso'  E tome cadeirada !!!!;Neutro;Neutro;Neutro;;;
Parabéns a UOL. Pela primeira vez, vcs mostraram a cadeirada do início e o que motivou. Isso é o verdadeiro jornalismo. Continuem assim que vcs vão longe. Parabéns!!!!;Suporte;Crítica e Protesto;Suporte;;;??? Suporte geral
Esse Marçal vai deixar esses adversários com problemas psicológicos 😂😂;Crítica e Protesto;Humor;Humor;;;
A mulher que tava traduzindo pra libras KKKKKKKKKKKKKKKKKKKK;Neutro;Humor;Humor;;;
Olha o nível que a política brasileira chegou.;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
A REAÇÃO DA TRADUTORA DE LIBRAS, KKKKKKKKKKKKKKKKKKKKKKKKK;Neutro;Humor;Humor;;;
Tava na cara que essa baixaria  ridícula de discussão  de quinta série  que viraram os debates ia acabar em agressão , ninguém é de ferro .;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
Datena acabou de eleger o Marçal;Suporte;Neutro;Neutro;;;
Gente, eu venho esperando por este momento a anos, que gratificante.;Suporte;Suporte;Suporte;;Suporte a Datena;
Nunca pensei que o Datena iria me ensinar algo positivo, mas acabou de dar uma aula pro Brasil inteiro de como se deve lidar com gente igual o Marçal kkkkk;Suporte;Suporte;Suporte;;Suporte a Datena;
É uma barbaridade, a cadeira é inocente!;Humor;Humor;Humor;;;
Nunca pensei em dizer isso: Obrigado, Datena!;Suporte;Suporte;Suporte;;Suporte a Datena;
Debate?Datena: você disse COMBATE? Kk;Humor;Humor;Humor;;;
Veja se um cara desse tem equilíbrio de ser prefeito de são Paulo;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
Pra que pagar ingresso pra ir em circo?, quando você pode assistir os debates políticos br kkkkkkk;Crítica e Protesto;Humor;Crítica e Protesto;Crítica Geral;;
A reação do apresentador me lembrou aquele meme de Dragon Ball: 'Neste momento, Cell sentiu o verdadeiro terror!' 😨;Humor;Humor;Humor;;;
Estes debates estão melhores que o Roda Solta de Danilo Gentili. Kkkkkkkk;Humor;Humor;Humor;;;
Kkkkkkkkkkkkkkkkkkkk olha o nível do debate na cidade mais rica do país !! É uma barbaridade kkkkkkkk;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
Kkkkkkk isso foi absolute cinema, essa tá sendo uma das melhores eleições que já tive o prazer (desgosto) de acompanhar! Parabéns a todos os envolvidos kkkkkkk;Humor;Humor;Humor;;;
Entrou na mente do Dapena 🤣🤣🤣🤣🤣🤣🤣;Humor;Humor;Humor;;;
A falta de educação do coach é digna de qualquer cadeirada. Triste, mas é a verdade.;Crítica e Protesto;Suporte;Crítica e Protesto;Crítica a Marçal;;
só acho que o twitter faz muita falta nessa hora;Crítica e Protesto;Neutro;Crítica e Protesto;Crítica Geral;;
Queremos o vídeo completo... A melhor parte é o pós cadeirada😂😂;Neutro;Humor;Neutro;;;
O intermediador vendo a cena:👁️👄👁️;Neutro;Humor;Humor;;;
Quem não aguenta pressão, não pode fazer parte da política.;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
Datena achou que o debate era até a morte.;Humor;Humor;Humor;;;
Eis a importância de ser ensinado inteligência emocional nas escolas .;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
Agora Marçal viu que Datena é homem.;Suporte;Humor;Suporte;;Suporte a Datena;???
Cara chato esse Marçal. Quem pede acha. Era o que todos queriam fazer. Obrigado Datena;Suporte;Suporte;Suporte;;Suporte a Datena;
A minha vó diz 'quem fala oq quer escuta oq não quer...ou leva uma cadeirada';Humor;Humor;Humor;;;
Datena: Você conhece a Stella?Marçal: Que Stella?Datena:Aquela que te quebra uma costela!;Humor;Humor;Humor;;;
Aqui no Brasil os políticos já descobriram que prepotência, arrogância e a falta de educação, ao invés de projetos em políticas públicas é que dá votos e ganha a simpatia dos eleitores.;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
Pediu contato, o contato veio.;Neutro;Humor;Humor;;;
Segundo os meus cálculos, eu acho que a cadeira se machucou gravemente.;Humor;Humor;Humor;;;
Dessa cadeirada que ele saiu de ambulância?!?!?!?!? A GLOBE TA PERDENDO MARÇAL COMO ATOR KAKAKAKA;Crítica e Protesto;Humor;Crítica e Protesto;Crítica a Marçal;;
O cara tem quase 70 anos e cai em provocação de 5 série, como alguém assim vai governar uma cidade?;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
Parabéns Datena o cara chamou agora aguenta;Suporte;Suporte;Suporte;;Suporte a Datena;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
