Comentário;Categoria #1;Categoria #2;Desempate;Viés político Crítica e Protesto;Viés político suporte;
Era tudo o que o Marçal queria DAPENA 🤣;Humor;Humor;Humor;;;
Oscar para Marçal na Ambulância ,maior teatro 😂😂😂🤡🤡🤡;Humor;Humor;Humor;;;
Datena não tem resistência emocional nenhuma!Próximo debate Marçal de capacete 🤣🤣🤣🤣🤣🤣🤣🤣;Humor;Humor;Humor;;;
O coach que diz já ter se saído de situações de extremo risco não soube se defender e correu 😂😂😂;Humor;Crítica e Protesto;Crítica e Protesto;Crítica a Marçal;;
Eu gosto assim quando político briga de verdade.;Humor;Crítica e Protesto;Humor;;;
Man, o pé da cadeira pegou em cheio no rosto dele kkkkkkkkkkk por essa nem Marçal esperava kkkkkkkkk;Humor;Humor;Humor;;;
Isso é a eleição da MAIOR E MAIS RICA cidade do país. Olha só que várzea!;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
Nem iria votar nesta eleição... mas agora meu voto é no Datenão... sujeito homem, cabra-macho... já tá combatendo criminoso em SP! 💪;Suporte;Suporte;Suporte;;Suporte a Datena;
A cadeira está bem?;Humor;Humor;Humor;;;
Marçal prefeito no 1turno São Paulo definiu hj;Suporte;Suporte;Suporte;;Suporte a Marçal;
Kkkkkkkkkk. Dapena passou na cracolandia antes do debate.;Humor;Humor;Humor;;;
Dapena realmente,  o homem não tem nem equilíbrio emocional e quer administrar a prefeitura de São Paulo 😂;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
Datena mostrou o arregão 😅😅😅😅 agora o Marçal vai ficar pagando de coitadinho.;Humor;Humor;Humor;;;
Poe na Tela;Humor;Humor;Humor;;;
Datena sabe que vai perder e faz isso 😂😂😂;Humor;Humor;Humor;;;
Teve o que procurou !;Neutro;Suporte;Neutro;;;
Pedir comercial na melhor parte....PQP.;Neutro;Crítica e Protesto;Neutro;;;
Agora sim , pelo menos teve entretenimento kkkkk;Humor;Humor;Humor;;;
'Nossos comerciais por favor!' KKKK;Humor;Humor;Humor;;;
Nos próximos debates Ágora os caras vão colocar puf 🤣🤣🤣;Humor;Neutro;Humor;;;
Quem pede pra apanhar, apanha. É assim que funciona.;Suporte;Suporte;Suporte;;Suporte a Datena;
elegeram o cara !!!;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;"???? Quem é ""o cara""?"
Rapaz Marcal é uma arma de marketing já tinha tudo programado;Neutro;Suporte;Suporte;;Suporte a Marçal;
Já era fã do Datena agora sou mais;Suporte;Suporte;Suporte;;Suporte a Datena;
Raiva que dá deles cortarem a imagem;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
Quem foi que disse no fundo: 'Calma Datena', kkk, pareceu o Boulos;Humor;Neutro;Neutro;;;
Querido Datena: Tal ato é totalmente abominável durante um debate tão elibado. Exposto isso quero deixar aqui meus sinceros MUITO OBRIGADO! LAVOU MINHA ALMA!;Suporte;Suporte;Suporte;;Suporte a Datena;
Coloca na tela ai, Brasil urgente! Dapena se descontrola;Humor;Humor;Humor;;;
Kkkkkkkkklkkk não é canal de humor, mas ficou muito bom KKKKK melhor que Prog de zoeira;Humor;Humor;Humor;;;
A cadeirada mais rapida da história;Humor;Suporte;Humor;;;
OBRIGADO DATENA ACABOU DE ELEGER O MARÇAL KKKKKKKKKKKKKKKKKKKKKKKKKK;Humor;Humor;Humor;;;
Obrigado por fazer por nós! ❤;Suporte;Suporte;Suporte;;Suporte a Datena;
Will Smith  no Orcar é para os Fracos. o negócio é Datena nos Debates!!😅😅😅🤣🤣🤣😂😂😂🤣😅🤣🤣😂;Humor;Suporte;Suporte;;Suporte a Datena;
Não acredito que perdi isso ao vivo kkkAgora sim, Marçal leva no primeiro turno.;Humor;Neutro;Neutro;;;
Mordeu a isca kkkk;Humor;Humor;Humor;;;
O Datena demonstrou que não tem emocional nenhum para esse tipo de Debate;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
Quer ser prefeito Marçal, toma a cadeira!;Humor;Humor;Humor;;;
Qualquer candidato que almeja um cargo público e agride os seus adversários ,não está preparado para representar o povo,não  tem moral nenhuma com a população,nota zero para este tipo de gente;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
Gente chamam eles de volta fiz um baldão de pipoca pra ver o debate!;Humor;Humor;Humor;;;
Só mostra o desequilíbrio emocional dos candidatos, principalmente dos de esquerda. E vai ter gente culpando o agredido aqui nos comentários!;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
No próximo debate não pode ter cadeira. Tem que banir as cadeiras do próximo debate....😅😅😅;Humor;Humor;Humor;;;
Foi o final que não tivemos entre Dado Dolabella e João Gordo.;Humor;Humor;Humor;;;
Marçal é foda, tirou o velho babão do sério pq sabia que ele iria revidar de forma agressiva, rendendo um ótimo corte pra ele;Suporte;Suporte;Suporte;;Suporte a Marçal;
Que Justiça Eleitoral mais fajuta essa nossa!!! Deixar um ser como esse Marçal concorrer para assumir cargo politico!!! É muita desmoralização desse paissssssssssss;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Marçal;;
Isso foi uma entrada criminosa, MERECE UM CARTÃO VERMELHO 😂😂😂;Humor;Humor;Humor;;;
Pronto. Marçal acaba de ganhar a cadeira de prefeito de São Paulo 😂😂😂😂;Humor;Humor;Humor;;;
Meu herói não usa capa, ele usa uma cadeira kkkkkkkk;Suporte;Humor;Suporte;;Suporte a Datena;
Bom ele provou que realmente faz😂😂😂😂;Humor;Humor;Humor;;;
Gratidão Datena ❤;Suporte;Suporte;Suporte;;Suporte a Datena;
'Vc não é homem nem pra me agredir' Chamou o Datena pra briga e ele foi;Neutro;Suporte;Suporte;;Suporte a Datena;
Vingou todos que caíram no golpe!!!!;Suporte;Suporte;Suporte;;Suporte a Datena;
SÓ FEZ O QUE TODO BRASILEIRO QUERIA FAZER;Suporte;Suporte;Suporte;;Suporte a Datena;
Dapena, o prefeito tem que sentar na cadeira, não sentar a cadeira.;Humor;Humor;Humor;;;
O MARÇAL CONSEGUIU UMA COISA INÉDITA: FICOU RICO DANDO GOLPE EM IDOSO E AGORA TOMOU UM GOLPE DE UM IDOSO!!!MADEIRA NO 171!!! kkkkkkkkkkkkkkkk;Humor;Humor;Humor;;;
Parabéns Datena!;Suporte;Suporte;Suporte;;Suporte a Datena;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
