Comentário;"Categoria #1
";Categoria #2;Desempate;Viés político Crítica e Protesto;Viés político suporte;
Os caras chamam ambulância justamente pra causar uma comoção, ou seja, tirou proveito pra fazer um estelionato eleitoral;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Marçal;;
Na verdade,  o Lamarçal premeditadamente provocou  toda essa situação para sair como vítima, se olharmos para um passado não muito distante vamos ver o reflexo do que aconteceu hoje.;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Marçal;;
Debate bem equilibrado, de um lado o Pablo pede cadeirada e de outro Datena dá cadeirada;Humor;Humor;Humor;;;
Marçal sabe se defender de Tubarões mas cadeirada de idoso já é demais 😂;Humor;Humor;Humor;;;
se os políticos ganhasse igual a um salário mínimo ninguém brigava pelo país.eu queria ver alguém amar o pais de verdade.;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
Eu queria entender porque o Dapena não foi preso por agressão?;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
A política está em  uma degradação tremenda. Hoje não existe mais debate de propostas..., mas sim, ataques de cunho pessoal, até parece briga de bar quando todos já estão com a cabeça cheia de trago. Literalmente, essas pessoas que não trazem propostas nenhuma, não têm condições de representar um município como chefe de poder.😢😢😢;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
Pablo Marçal: Provocar ✅️Debochar✅️Propostas para a cidade ❌️;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Marçal;;
Boa Datena !!!!Melhor programa de governo foi esse !!!;Suporte;Humor;Suporte;;Suporte a Datena;
Cinegrafista nota zero;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
Esse é o homem que é contra o crime e violência.;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
Agora, Marçal sabe Datena é Homem. 😂😂😂;Humor;Humor;Humor;;;
Se fosse o Marçal que tivesse dado a cadeirada já estava atrás das grades... Q país é esse;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
O coach aproveitou pra fazer cena.😂;Humor;Humor;Humor;;;
Marçal vive humilhando oponentes nunca é humilhado nos debates. Passou dos limites 😮😮😮😮;Crítica e Protesto;Neutro;Crítica e Protesto;Crítica a Marçal;;
O que mais me surpreende dessa história é que o Datena é candidato a prefeito 😂;Humor;Humor;Humor;;;
Bem feito!! Marçal mexeu na honra do Datena falando q ele não era homem e recebeu a resposta, merecidamente!!;Suporte;Suporte;Suporte;;Suporte a Datena;
Simples, perdeu a razão;Crítica e Protesto;Neutro;Crítica e Protesto;Crítica a Datena;;
ISSO É AGRESSÃO!!! O DATENA TEM QUE SER PRESO;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
🪑🪑🪑⛔🪑🪑🪑Mexe a cadeiraE bota na beira da salaMexe a cadeiraAgora bem na minha caraMexe a cadeira da maneira que te taraMexe a cadeiraE perde a vergonha na cara;Humor;Humor;Humor;;;
Marçal virou meme e chacota agora.O tiozinho bateu nele com andador 😂😂😂.;Humor;Humor;Humor;;;
Estou preocupado com a cadeira;Humor;Humor;Humor;;;
Devia ser cortado essas farpas de um monte de agressão.  Deviam só responder sobre a política...sobre o cargo gente.;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
Elegeram Marçal, parabéns aos envolvidos...;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
É como escolher entre Coringa e Pinguin sem Batman;Humor;Crítica e Protesto;Humor;;;
'Esperou o contato....Contato veio...segue o lance!';Humor;Humor;Humor;;;
Realmente dapena, dá pena! Mostrou-se o quanto é um desequilibrado. Imagina esse cara na prefeitura.;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
A rede globo precisa se um ator assim como pablo Marçal.;Humor;Humor;Humor;;;
Cade a polícia? O descompensado agressor esta solto ainda ? O sujeito ñ tem equilíbrio psicológico pra ser prefeito de São Paulo.;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
ele explorando politicamente cada segundo dessa situacao. `` Faz parte do meu show, meu amooorr``;Neutro;Humor;Humor;;;
Esse é o cara que detectou a falha do helicóptero antes do piloto?o que ja lutou contra um tubarao?;Humor;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
POR ISSO QUE VIDEO VERTICAL É UMA MERDA NAO PEGOU A MELHOR PARTE;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
Ambulância por uma cadeirada? Quanto isso a tiazinha atropelada do outro lado da cidade, esperando o Batman;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Marçal;;
😂😂😂😂😂😂 caiu na conversinha do Marçal, é de Darpena 😂😂😂;Humor;Humor;Humor;;;
A cadeirada foi um extremo absurdo. No entanto, esse Marçal tem provar as acusações que ele vomita pra todo lado, inclusive dentro da própria direita que ele diz ser.;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Marçal;;
Marçal dando uma de Neymar. Mas é um oportunista.;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Marçal;;
Esteja preparando logo logo Jesus voltará povo de Deus;Neutro;Neutro;Neutro;;;
Coitada da cadeira será q ela quebrou 😂😂😂😂;Humor;Humor;Humor;;;
Datena deveria sair preso imediatamente pela agressão agravada.;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
Cadê há polícia 🚔 pra por esse péssimo apresentador de TV 📺 deveria ser preso prisão 😮;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
Quem não quer ser confrontado não pode entrar na política!;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
Isso me lembra o Bolsonaro antes de soltar nas intenções de voto ..🍷🗿🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷;Suporte;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
O cara na internet era o mais bravo, na vida real apanhou para um idoso 😅;Humor;Humor;Humor;;;
Oxe, ambulância? Kkkkkkkk pq ele não usou o poder da mente pra parar a cadeira 😂😂😂;Humor;Humor;Humor;;;
Nada justifica o que o Datena fez, mas faz tempo que o Marçal está pedindo !!;Suporte;Suporte;Suporte;;Suporte a Datena;
Datena, esse é o cara!!!❤❤❤❤;Suporte;Suporte;Suporte;;Suporte a Datena;
Kkkkk ambulancia pra uma cadeirada que nem pegou 😂😂😂😂;Humor;Humor;Humor;;;
O estressado, acabou de eleger Marçal a prefeitura de São Paulo . M 28;Suporte;Neutro;Neutro;;;
Esse será o melhor corte para a campanha do Marçal  kkkkk;Humor;Humor;Humor;;;
Kkkkkkkkk... Que maravilha, é assim que a gente gosta, deviriam organizar logo é um jogos vorazes, quem sair vivo será o novo Prefeito... 😂🤣;Humor;Humor;Humor;;;
Marçal mereceu!!  Ele é aquele aluno que faz bullyng com todo mundo..;Suporte;Suporte;Suporte;;Suporte a Datena;
O cara mete uma cadeirada no concorrente e quer voltar pra debater como que nada tivesse acontecido..sério ?? 🤣😂🤣Já era Da pena;Humor;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
Nem todo herói usa capa. Alguns usam cadeira mesmo. Valeu, Datena 👏👏👏;Suporte;Humor;Suporte;;Suporte a Datena;
Cada vez mais estão dando a prefeitura para Marçal;Neutro;Suporte;Neutro;;;
Vai sair de ambulância KKKKKKKK tadinho do Marçal kkkkkk;Crítica e Protesto;Humor;Humor;;;
Esse tipo de cara igual ao Marçal é o cara que faz bullying com todo mundo, mas quando fazem com ele chora e se faz de vitima;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Marçal;;
Marçal arregou depois da cadeirada, se o Datena o batesse com um tubarão, talvez o Marçal tivesse alguma chance. Agora o Marçal vai ser para sempre o candidato que apanhou do Datena.;Humor;Crítica e Protesto;Crítica e Protesto;Crítica a Marçal;;
'Vontade própria não!!! Eu estou dodói!!!'Provoca, chama pra briga e não aguenta 1 minuto de cadeirada😂😂😂O 'côti' é frouxo!!!;Humor;Humor;Humor;;;
Realizou o sonho dos demais candidatos...kkkkkkPovo de São Paulo, votem em alguém sério, a forma como eles se tratam é a forma como vão tratar vocês. Olhem com carinho para Marina Helena. Isso não é brincadeira.;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
Tudo que o Marçal queria. Datena acaba de eleger Marçal kkkkkk;Neutro;Suporte;Neutro;;;
Saudade dos anos 90...;Neutro;Crítica e Protesto;Neutro;;;
O cara ofendeu a honra do outro, desafiou , não pode reclamar da cadeirada;Suporte;Suporte;Suporte;;Suporte a Datena;
EU ia votar no Nunes, agora vou de Marçal e 5 votos na família.;Suporte;Suporte;Suporte;;Suporte a Marçal;
Meu voto é de Maria Helena;Neutro;Suporte;Neutro;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
