Comentário;Categoria #2;Categoria #1;Desempate;Viés político Crítica e Protesto;Viés político suporte;
O datena mostrou quem ele é: Desequilibrado. Agora a acusação de assédio sexual faz sentido.;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
E o Flávio  Cavalcante  pedindo os comerciais  rsrsrs hilario;Humor;Humor;Humor;;;
datena meu candidato, cumpre o que promete 👏👏;Suporte;Suporte;Suporte;;Suporte a Datena;
Gostei toma vermekkkkk;Suporte;Suporte;Suporte;;Suporte a Datena;
Alguém sabe se a cadeira está bem?;Humor;Humor;Humor;;;
00:23 Marçal: 'vai!'Cadeira: 'fomos!'Datena: 'cadeira, esse é o Marçal, Marçal essa é a cadeira!';Humor;Humor;Humor;;;
Agora vão ter um prefeito com a cabeça quebrada. hahaahahahaahaha;Humor;Humor;Humor;;;
a cadeira está bem?;Humor;Humor;Humor;;;
Parabéns Datena, deu mais votos pra esse condenado. 🤦‍♂️;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
Mais como o Marçal consegue entrar na mente deles né 😂😂😂😂;Crítica e Protesto;Suporte;Crítica e Protesto;Crítica a Datena;;
Datena dando uma prévia do que faria com a cadeira de prefeito!!;Suporte;Humor;Humor;;;
Niguem filmou isso por outro angulo ? Kkk;Neutro;Humor;Humor;;;
A WWE tá diferente.😂😂😂;Humor;Humor;Humor;;;
Temos que ter cuidado com aquilo que desejamos e pronunciamos em voz alta 😂😂😅 Tameee Cadeirada 🪑🪑🪑🪑;Humor;Suporte;Humor;;;
Datena acabou de enterrar a candidatura dele;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
Acertou;Suporte;Suporte;Suporte;;;
O mais ridículo é o Lamaçal fazendo drama no hospital sem perceber que estava de pulseira verde! Pulseira verde pessoal! Kkkkkkk. Pra quem não sabe, pulseira verde significa que não tem urgência, em outras palavras: que é mimimi, kkkkkkk.;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Marçal;;
Marçal o rei dos cortes, conseguiu o corte ideal mas dessa vez foi na cabeça 😂;Crítica e Protesto;Humor;Humor;;;
Ganhou meu voto Datena;Suporte;Suporte;Suporte;;Suporte a Datena;
Como atrair uma cadeira 😂😂😂;Humor;Humor;Humor;;;
Agora  tenho  um Candidato  Datena  este Não  leva desaforo;Suporte;Suporte;Suporte;;Suporte a Datena;
Lascou a cabeça do Boçal?;Suporte;Suporte;Suporte;;Suporte a Datena;
Existem dois tipos de dor: a dor que machuca e a dor que modifica.Lispector, Denzel.;Suporte;Neutro;Neutro;;;
'Marçal quer tanto ser prefeito que o Datena já lhe deu a cadeira'!.;Humor;Humor;Humor;;;
Foi é pouco! Valeu, Datena❤️ O bandido pensa que pode caluniar as pessoas, e sair ileso;Suporte;Suporte;Suporte;;Suporte a Datena;
Quico, você apanhou? Não, eu dei uma costada na cadeira dele! 🤣🤣🤣🤣🤣;Humor;Humor;Humor;;;
Esse é o Brasil por favor façam isso com o PACHECO nobre senadores 😅😅😅😅😅😅😅😅😅;Suporte;Suporte;Suporte;;Suporte a Datena;
O veião do Datena mostrou o que é homem e fez o Marçal se borrar todo, saiu correndo  covarde.Datena tem meu Voto.;Suporte;Suporte;Suporte;;Suporte a Datena;
O nível dos candidatos meu Deus...;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
Entregou a cadeira da prefeitura (literalmente). Marçal agradece pela cadeira;Neutro;Humor;Neutro;;;
Quando chegar no 0:21 bota a velocidade no 0.25x que vai ficar perfeito kkkkkkkk😂;Humor;Humor;Humor;;;
Mano que baixaria velho, não dá pra tankar o Bostil, olha que vergonha mano, político é a cara dos brasileiros.;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
A jumentalha ainda não  conseguiu entender que o dapena fez exatamente  o que o Marçal  queria. Mas que burrrrros😂😂😂😂😂😂;Crítica e Protesto;Suporte;Crítica e Protesto;Crítica Geral;;
Obrigado Datena, o Brasil te ama;Suporte;Suporte;Suporte;;Suporte a Datena;
Agora acredito no poder de atração do Marçal 😂😂😂😂😂;Humor;Humor;Humor;;;
Vou ser obrigada a votar no Datena❤❤❤❤❤;Suporte;Suporte;Suporte;;Suporte a Datena;
DATENA TOTALMENTE DESEQUILIBRADO, MISERICÓRDIA;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
Cadeirada no Marçal! Kkkkkkkkk;Humor;Humor;Humor;;;
Datena é totalmente desequilibrado 😂;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
Fora Marcal;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Marçal;;
vergonha pra Datena;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
Ah! Que isso? Ele está descontrolado!;Humor;Humor;Humor;;;
Se eu fosse de São Paulo meu voto ia pro Datena, fez oque todo mundo tem vontade 😂😂😂😂;Suporte;Suporte;Suporte;;Suporte a Datena;
😅😅😅😅😅😅 não canso de para de olha isso😅😅😅😅😅;Suporte;Humor;Humor;;;
Datena chorou esses dias pq sabe que vai perder, está ali só pra apoiar o Boules. Ta nítido que ele é um padre Kelmom da vida;Crítica e Protesto;Suporte;Crítica e Protesto;Crítica a Datena;;
Amei! 🤣🤣🤣🤣🤣;Suporte;Suporte;Suporte;;Suporte a Datena;
Todo dia uma abertura de the office diferente KKKK;Humor;Humor;Humor;;;
Esse Mais-sal é um gênio kkkkk levou a cadeirada e boa parte do eleitorado do Jack kkkkkk;Suporte;Suporte;Suporte;;Suporte a Marçal;
Datena vai aparecer amanha no Datena!;Humor;Humor;Humor;;;
Marçal conseguiu exatamente o que ele queria! Datena caiu Pablo subiu!;Neutro;Crítica e Protesto;Neutro;;;
Já imaginou se é o contrário, se o 'Dá pena' que tivesse sofrido a agressão? Imagina essas emissoras esquerdistas?;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
A ESQUERDA ESTÁ EM DESESPERO E NÃO ENCONTRA MAIS MANEIRAS DE DETER O MARÇAL... ESTÃO ATÉ TENTANDO ELIMINAR O CARA DIANTE DAS CÂMERAS KKKKKKKKKKKKKKK MEU VOTO AGORA É A FAVOR DO MARÇAL.;Suporte;Suporte;Suporte;;Suporte a Marçal;
🤣🤣🤣🤣🤣🤣🤣Bem feito MARCAL se MERDIOU😂😂😂;Suporte;Suporte;Suporte;;Suporte a Datena;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
